period,year,quarter,domestic_demand_real_cop_billion,total_consumption_real_cop_billion,private_consumption_real_cop_billion,government_consumption_real_cop_billion,investment_real_cop_billion,fixed_investment_real_cop_billion,exports_real_cop_billion,imports_real_cop_billion,gdp_real_cop_billion,domestic_demand_nominal_cop_billion,total_consumption_nominal_cop_billion,private_consumption_nominal_cop_billion,government_consumption_nominal_cop_billion,investment_nominal_cop_billion,fixed_investment_nominal_cop_billion,exports_nominal_cop_billion,imports_nominal_cop_billion,gdp_nominal_cop_billion,trm_avg_cop_per_usd,trm_end_cop_per_usd,net_exports_real_cop_billion,net_exports_nominal_cop_billion,gdp_usd_m
2007Q3,2007,3,148604.92214607567,116912.9912771593,99222.6786020415,17750.03861473386,31425.56883748229,30867.009234428984,26699.484676656,27951.173148834445,148649.9666004055,114707.98235750211,86296.04057884542,72445.23811737701,13850.802461468411,28411.94177865669,26581.432439768232,18136.198749422227,22527.931612247983,110316.24949467636,2042.7966101694915,2023.19,-1251.6884721784445,-4391.7328628257565,54002.56146182042
2007Q4,2007,4,160090.0711673139,135459.48035972347,107394.78230466826,27969.02693251974,26290.522432745875,35512.16297106581,29187.859613323373,29399.40136164239,159002.01903388588,119105.51579324075,97441.43283976705,78807.77014927317,18633.662690493875,21664.082953473702,28497.821702204095,20545.011597499688,23883.191328619745,115767.33606212068,2020.5510169491524,2014.76,-211.54174831901764,-3338.179731120057,57294.93345677497
2008Q1,2008,1,143788.10595166913,114402.91978857733,97989.47346100841,16500.732137406052,29447.37431684777,24056.64696248213,25886.59288118899,26870.346507026865,144602.6932996436,114615.71912163432,86987.69175719786,73366.2117726007,13621.47998459716,27628.02736443647,22823.279757612203,19816.891799709785,21789.809860660516,112642.80106068359,1910.8280701754386,1821.6,-983.753625837875,-1972.9180609507312,58949.73117615
2008Q2,2008,2,151865.4884714651,116980.10835839594,99424.30052979474,17630.86310837359,34605.52118918458,30171.63725654416,26784.471003878214,27925.18544291905,148078.9337127267,114933.05947537792,90928.40234822527,75826.74829491455,15101.654053310718,24004.657127152645,25067.986527240817,21019.877241950046,22305.466411728605,113647.47030559936,1766.4467213114754,1923.02,-1140.7144390408357,-1285.5891697785592,64336.766535037794
2008Q3,2008,3,156129.814893965,120931.49169565908,102764.6741710925,18252.409777687135,34765.61571038359,30064.23630391841,26681.821471935124,30610.740344497473,153584.5340116784,126504.88927438046,93688.89235941022,79317.23207938082,14371.6602800294,32815.99691497024,26818.743083845,23580.697761601677,25703.895401868278,124381.69163411386,1900.0296721311474,2174.62,-3928.91887256235,-2123.1976402666005,65463.02589822321
2008Q4,2008,4,168374.59068290083,140192.48015736768,111347.55183810437,28679.994976533228,29271.488783584056,34757.47947705531,25251.11464299766,33249.7277055566,159446.8389759513,134551.33212860776,105957.01353516661,86413.80785310388,19543.205682062737,28594.318593441138,29720.990631301996,21884.533196738495,30553.828325742605,125882.03699960363,2287.9362711864405,2243.59,-7998.613062558939,-8669.29512900411,55019.90531157836
2009Q1,2009,1,145532.07325930198,117214.41306105946,100026.39473328262,17189.97671713751,28674.73363763719,25752.82850046508,24406.00523106796,26942.143289179163,144812.49303091533,122942.77505001999,93938.9121049722,79119.42342654089,14819.488678431315,29003.862945047797,26085.395384943033,20746.911376560358,25019.36810889182,118670.31831768854,2420.261896551724,2561.21,-2536.1380581112026,-4272.456732331462,49032.01529006611
2009Q2,2009,2,153254.64788219135,120058.61603101123,101870.58154535729,18204.911464918936,33083.15124070926,30823.17212042208,24028.16486561217,25672.50388202352,149108.60209883322,123312.87887648442,97955.65467813813,81392.29274912736,16563.36192901077,25357.22419834629,27192.404488141565,20130.849688622904,22658.840217335593,120784.88834777175,2235.6393103448277,2158.67,-1644.3390164113516,-2527.9905287126894,54027.00148851013
2009Q3,2009,3,154800.281908339,123358.44698094616,104015.2237942481,19363.433150173714,31663.90681957385,32017.24655452224,24749.954200770255,26739.44957445786,154402.16390151772,131332.22643663158,99381.25803336753,83187.48892430378,16193.769109063753,31950.968403264036,29454.88119374543,20172.908049990183,22443.015356936092,129062.11912968566,2017.3793548387098,1922.0,-1989.495373687605,-2270.107306945909,63975.13626781623
2009Q4,2009,4,168145.99695016764,142784.5239269832,112643.79992711202,30166.67866776984,26604.208302079704,35760.75282459061,25973.87570254963,29040.903254339453,164292.7409687338,135558.119636864,111586.17518352203,89924.79490002793,21661.380283494105,23971.944453341974,30857.31893316997,21330.330884826555,23831.7763168365,133056.67420485406,1964.651186440678,2044.23,-3067.0275517898226,-2501.4454320099467,67725.34235245614
2010Q1,2010,1,151170.8432970556,121815.43468713816,103799.36101174941,18048.824123722155,29710.02898840926,25624.208045919495,24198.07912464225,26872.720960711897,150431.7248654845,130216.49115784279,99700.97070124597,83724.66840585081,15976.302295395159,30515.520456596816,25658.715259156583,20690.67021520982,21981.51047563062,128925.65089742198,1943.0174137931033,1928.59,-2674.641836069648,-1290.8402604208022,66353.31725912687
2010Q2,2010,2,162607.50427399567,125685.49135959569,106508.91110748393,19218.28716808506,36649.584453412725,33920.14792774431,25176.64579551142,29019.313498632924,156004.20299584756,132773.8526080202,104663.15898330751,86717.05526914929,17946.10371415822,28110.693624712694,29394.081644017708,22377.414915691774,23807.87373021407,131343.3937934979,1949.8415254237286,1916.46,-3842.667703121504,-1430.4588145222951,67361.06092773621
2010Q3,2010,3,164875.48949067137,130093.90896421559,109969.21070739742,20171.205781209195,34768.272439959735,33380.25871669519,25210.557079011607,30983.89572195119,160651.52145567,141508.5348499996,107196.32111729801,89882.99132712722,17313.32979017078,34312.21373270158,31263.15448814639,21576.318564126977,24763.85110717021,138321.00230695636,1832.3564516129034,1799.89,-5773.338642939583,-3187.5325430432313,75488.042834243
2010Q4,2010,4,180663.1629382773,151407.1649890506,119426.51717336928,31924.682926983583,30375.11411821828,40264.38530964101,26617.718000834728,33258.06981870398,173063.550682998,148173.12138413778,122023.54919814848,98395.28499787269,23628.264200275797,26149.572185989302,33611.04860867933,24259.596304971434,26962.7646869851,145469.95300212412,1869.1189830508474,1913.98,-6640.351817869254,-2703.1683820136677,77828.08602408099
2011Q1,2011,1,163099.39600952493,127449.68216548389,108556.09634138168,18936.726635011608,35503.92767585679,30263.715014174075,27426.42466158323,32036.199017430787,160659.87523842824,145443.93279839653,109102.29648805023,91737.22808956863,17365.06839848159,36341.63631034631,30461.66416084557,26672.22324856548,27153.155818308915,144963.0002286531,1877.5537288135592,1879.47,-4609.774355847556,-480.93256974343603,77208.44309486491
2011Q2,2011,2,176876.0570063882,133770.0891127344,113235.77853550982,20583.608066798282,42885.83807734069,36864.72421414774,28064.06135534609,35552.833244649286,166585.3291953743,149986.0504073566,116897.30879205918,97016.71025188499,19880.598540174193,33088.74161529743,32755.07366128256,29881.024621892524,30606.2923251592,149260.78270408994,1798.537,1780.16,-7488.771889303196,-725.2677032666761,82990.10957466537
2011Q3,2011,3,180404.7397418364,137251.26113861726,115730.80284644966,21569.322124384606,42623.77668285835,38555.824463466786,28190.064502382706,37143.51791138213,173372.35528380543,161085.41587416825,119586.4987085646,100389.91123874199,19196.587469822607,41498.91716560364,34840.265078661476,29237.072500766648,32035.702708224602,158286.7856667103,1796.0733870967742,1915.1,-8953.453408999423,-2798.6302074579544,88129.35306756574
2011Q4,2011,4,194565.80724225048,160521.96758316443,126368.32227665886,34061.343173805515,34838.457563944154,43769.73630821141,29927.44948068797,39703.449826537784,184010.44028239194,168186.60092007933,136767.89601132597,110575.15041980438,26192.745591521587,31418.704908753374,37606.99709921037,33535.679628775346,35209.84914830728,166512.4314005474,1920.8529824561404,1942.7,-9776.000345849814,-1674.1695195319335,86686.71310161002
2012Q1,2012,1,174812.4659443938,136261.93698726763,116518.98021713775,19737.409138698913,38420.05851282543,31661.21157558148,29769.724501654022,36718.513141960546,170516.6093956681,161372.3970654873,121967.62853390398,103079.3876723381,18888.240861565882,39404.76853158334,32924.6847845164,31493.5287408964,31493.14749772922,161372.7783086545,1795.4644999999998,1792.07,-6948.788640306524,0.38124316717949114,89878.01112673322
2012Q2,2012,2,188008.5351240196,140708.43409782782,119286.48355207173,21432.211168560196,47146.29599407692,39745.51990322161,28695.080304655316,38996.59158005852,174658.1158414345,164326.01114363616,127727.32920870537,106225.06947308495,21502.259735620413,36598.6819349308,35294.04736323376,31297.089873894187,33118.7802320568,162504.32078547354,1786.155344827586,1784.6,-10301.511275403205,-1821.6903581626138,90979.94822010273
